nl,code
"zfile is an instance of GzipFile class, created with 3 arguments: mode set to string 'wb', compresslevel set to integer 6,","zfile = GzipFile ( mode = 'wb' , compresslevel = 6 , fileobj = buf )"
"try,",try :
"__all__ is an list containing strings: 'activate', 'deactivate', 'override', 'deactivate_all', 'get_language',","__all__ = [ 'activate' , 'deactivate' , 'override' , 'deactivate_all' , 'get_language' , 'get_language_from_request' , 'get_language_info' , 'get_language_bidi' , 'check_for_language' , 'to_locale' , 'templatize' , 'string_concat' , 'gettext' , 'gettext_lazy' , 'gettext_noop' , 'ugettext' , 'ugettext_lazy' , 'ugettext_noop' , 'ngettext' , 'ngettext_lazy' , 'ungettext' , 'ungettext_lazy' , 'pgettext' , 'pgettext_lazy' , 'npgettext' , 'npgettext_lazy' , 'LANGUAGE_SESSION_KEY' , ]"
"for every pk in value,",for pk in value :
"raise an CommandError exception with an argument string ""You can only use --pks option with one model"".","raise CommandError ( ""You can only use --pks option with one model"" )"
"for every sql in index_sql,",for sql in index_sql :
"if elt is an instance of six.string_types class,","if isinstance ( elt , six . string_types ) :"
append filename to _error_files.,_error_files . append ( filename )
substitute file for filename.,filename = file
return value.,return value
"call the connection.introspection.table_names with tables as argument, store the result in seen_models.",seen_models = connection . introspection . installed_models ( tables )
"if urlconf_name is true,",if urlconf_name :
"from django.conf import urls into default name space,",from django . conf import urls
"substitute the result for value under the NON_FIELD_ERRORS key of the form._errors dictionary. for every field in unique_check,",for field in unique_check :
"if base_lang is contained in settings.LANGUAGES_BIDI, return boolean True, if not, return boolean False.",return base_lang in settings . LANGUAGES_BIDI
"convert max_value into an floating point number, substitute it for max_value.",max_value = float ( max_value )
"return a list containing return values of the function to_py called with an argument val, for every val in value.",return [ to_py ( val ) for val in value ]
from django.utils import six and lru_cache into default name space.,"from django . utils import six , lru_cache"
import module warnings.,import warnings
"return the string 'ValidationError(%s)', replace '%s' with self.",return 'ValidationError(%s)' % self
lexer is an instance of JsLexer class.,lexer = JsLexer ( )
"for every form in self call the form.as_table method, join the results in a string, separated by an empty string.",forms = ' ' . join ( form . as_table ( ) for form in self )
"call the method self.parse_name with an argument fixture_label, substitute the result for fixture_name, ser_fmt, cmp_fmt, respective.","fixture_name , ser_fmt , cmp_fmt = self . parse_name ( fixture_label )"
call the method notifier.read_events.,notifier . read_events ( )
return an string '0'.,return '0'
"if pytz is true, substitute pytz.utc for utc, otherwise substitute result of the function UTC for utc.",utc = pytz . utc if pytz else UTC ( )
return data.,return data
"where '%s' is replaced with first element of bits. call the method parser.compile_filter with second element of bits as an argument, substitute the result for viewname.",viewname = parser . compile_filter ( bits [ 1 ] )
"for every k2 and v2 in v,","for k2 , v2 in v :"
"if domain is true and return value of the function validate_host called with 2 arguments: domain and settings.ALLOWED_HOSTS, evaluates to true,","if domain and validate_host ( domain , settings . ALLOWED_HOSTS ) :"
append a tuple with 2 elements: f.name and formfield to field_list.,"field_list . append ( ( f . name , formfield ) )"
return host.,return host
from io import StringIO into default name space.,from io import StringIO
"if not,",else :
return attrs.,return attrs
"if host ends with '.', remove the last element from host.",host = host [ : - 1 ] if host . endswith ( '.' ) else host
"if not,",else :
"call the method self._coerce with an argument value, return the result.",return self . _coerce ( value )
"substitute '%s' in string ""No changes detected in app '%s'"" with the result of the method app_labels.pop, write it to self.stdout.","self . stdout . write ( ""No changes detected in app '%s'"" % app_labels . pop ( ) )"
"if decimals is greater than digits,",if decimals > digits :
"if self.no_obsolete is true,",if self . no_obsolete :
from django.utils.text import unescape_entities into default name space.,from django . utils . text import unescape_entities
"define the method __init__ with 5 arguments: self, view_name, args, kwargs and asvar.","def __init__ ( self , view_name , args , kwargs , asvar ) :"
self._post_render_callbacks is an empty list.,self . _post_render_callbacks = [ ]
"call the function mark_for_escaping with an argument value, return the result.",return mark_for_escaping ( value )
call the method cursor.execute with an argument line.,cursor . execute ( line )
from django.core.servers.basehttp import run and get_internal_wsgi_application into default name space.,"from django . core . servers . basehttp import run , get_internal_wsgi_application"
"if not,",else :
"if self.instance.pk is None,",if self . instance . pk is None :
"convert value into an string, convert the result into an integer and substitute it for value.",value = int ( str ( value ) )
"call the function re.compile with arguments regex and re.UNICODE, substitute the result for compiled_regex.","compiled_regex = re . compile ( regex , re . UNICODE )"
logger.propagate is boolean True.,logger . propagate = True
define the function request with an argument request.,def request ( request ) :
"if callback is an callable object,",if callable ( callback ) :
from django.conf import settings into default name space.,from django . conf import settings
define the method add_arguments with self and parser as arguments.,"def add_arguments ( self , parser ) :"
"try,",try :
"separated by result of the function _ called with an argument string ', ', for every i in list_ without last element, result of the function force_text called with an argument last_word, result of the function force_text called with an argument: last element of list_. call the function allow_lazy with 2 arguments: get_text_list and six.text_type, substitute the result for get_text_list.","get_text_list = allow_lazy ( get_text_list , six . text_type )"
"if m is true,",if m :
substitute value under 'warning' key of kwargs dictionary for warning.,warning = kwargs [ 'warning' ]
"inverse_match set to None and flags set to None. if regex is not None,",if regex is not None :
pos is equal to integer 0.,pos = 0
raise an Resolver404 exception with an argument dictionary containing 1 entry: path for 'path'.,raise Resolver404 ( { 'path' : path } )
"if messages is not an instance of the ValidationError class,","if not isinstance ( messages , ValidationError ) :"
"call the method loader.detect_conflicts, substitute the result for conflicts.",conflicts = loader . detect_conflicts ( )
"if call to the function response.has_header with argument 'Vary' returns boolean True,",if response . has_header ( 'Vary' ) :
sup_cls is base class of the class cls.,"sup_cls = super ( cls , self )"
from django.utils.encoding import force_text and filepath_to_uri into default name space.,"from django . utils . encoding import force_text , filepath_to_uri"
